iter	MAE	RMSE
0	323747.5764	622976.8181
5	245044.7831	512565.801
10	208085.3276	457077.6723
15	190363.8628	429160.7117
20	181735.1603	413966.1871
25	176807.4939	405311.1354
30	173536.3588	398636.9136
35	171492.2319	394476.2608
40	170136.5391	390696.9331
45	169009.4224	387959.3568
50	168135.171	385466.748
55	166804.7949	382436.5039
60	166169.3975	380822.3769
65	165422.7273	379219.852
70	164281.0706	377296.516
75	163368.2772	374887.2631
80	162679.9489	373191.0391
85	162144.3222	371915.6054
90	161284.6411	370152.5702
95	160614.9187	368811.8235
100	159877.5893	367063.5218
105	159248.3435	365959.6196
110	158696.4082	364646.6378
115	158138.2155	363515.9305
120	157832.3892	362831.0973
125	157459.3791	361907.5299
130	157085.6586	361020.9576
135	156765.1411	360403.4975
140	156215.7299	359160.3293
145	155778.9518	358101.994
150	155364.3769	357190.2588
155	155013.2072	356422.0355
160	154750.5629	355714.0667
165	154578.4998	355180.2481
170	154253.5839	354489.5049
175	154039.7292	354100.9096
180	153717.0503	353496.0771
185	153335.168	352663.7611
190	153180.7434	352186.761
195	152944.2774	351666.5053
200	152701.146	350983.6128
205	152395.6824	350411.97
210	152202.2776	349890.355
215	152042.3513	349544.4388
220	151849.4302	348954.9742
225	151559.9729	348264.4554
230	151437.6212	347833.0379
235	151177.9545	347200.1472
240	150944.7986	346428.6074
245	150823.6259	346108.0348
250	150638.0504	345630.3671
255	150399.6044	344998.799
260	150294.4681	344662.7456
265	150181.2154	344372.9645
270	150001.9879	343858.1937
275	149712.1377	343153.401
280	149578.5257	342773.7202
285	149441.9966	342409.7608
290	149203.8832	341731.6635
295	149074.8358	341482.4788
300	149008.7553	341184.4921
305	148897.5733	340913.4071
310	148759.8653	340580.9659
315	148547.5976	340052.5553
320	148436.9899	339781.8266
325	148352.2884	339537.7575
330	148171.353	339005.2314
335	148078.2478	338737.9701
340	147930.0806	338199.8265
345	147770.6683	337733.8743
350	147627.5946	337307.2774
355	147476.0871	336802.0476
360	147260.0711	336244.6274
365	147127.7741	335762.7575
370	146987.8896	335379.0219
375	146930.6209	335183.9278
380	146800.3945	334857.0038
385	146713.713	334588.0276
390	146609.4232	334275.1596
395	146480.6478	333916.7812
400	146315.9756	333496.1844
405	146202.1183	333236.2403
410	146045.623	332828.6883
415	145900.8868	332541.6773
420	145747.0063	332125.2682
425	145658.9343	331792.8107
430	145501.7438	331371.5269
435	145410.8302	331094.4898
440	145270.4621	330661.3523
445	145197.0511	330401.4324
450	145089.0884	330161.7816
455	145005.0065	329947.4757
460	144904.3592	329571.2636
465	144789.9427	329186.449
470	144655.3785	328761.8856
475	144579.3527	328512.5238
480	144457.7416	328131.7927
485	144391.8728	327953.7116
490	144328.1955	327758.6463
495	144227.3819	327514.7632
500	144141.9549	327262.6715
505	144062.5435	327041.2806
510	143968.9093	326758.0986
515	143920.5883	326616.0031
520	143740.5447	326232.4635
525	143662.4482	325897.4231
530	143604.9527	325726.1367
535	143477.704	325386.1305
540	143424.8335	325222.6521
545	143267.5825	324794.2491
550	143184.8157	324511.1819
555	143132.973	324386.0455
560	143024.7534	324099.8222
565	142943.1201	323887.2182
570	142869.5277	323642.2664
575	142767.1423	323376.7537
580	142717.0529	323200.4537
585	142633.0315	323002.5546
590	142551.6854	322787.89
595	142494.5074	322595.3877
600	142425.6458	322389.1288
605	142373.0172	322197.3844
610	142305.3346	322013.3637
615	142201.6493	321718.4161
620	142123.4168	321434.181
625	142037.7933	321172.9866
630	141915.5323	320774.3548
635	141800.6623	320445.7868
640	141753.2482	320306.4328
645	141711.9706	320123.0331
650	141655.518	319885.0088
655	141617.6865	319764.2575
660	141553.5104	319568.7311
665	141487.173	319328.4325
670	141395.2619	319055.3313
675	141258.5061	318664.0348
680	141187.6041	318507.394
685	141073.7921	318241.905
690	140978.8127	317942.2998
695	140926.3051	317799.2298
700	140851.7	317544.6782
705	140723.8315	317138.0501
710	140589.2976	316827.7593
715	140508.4201	316495.1443
720	140378.5111	316071.6348
725	140321.9679	315899.5986
730	140196.155	315578.2344
735	140072.972	315292.812
740	139966.944	315007.1687
745	139832.8635	314624.9925
750	139750.7768	314447.1499
755	139631.2515	314011.415
760	139567.0301	313850.7731
765	139512.754	313681.0431
770	139408.2525	313330.1161
775	139290.2085	313083.9916
780	139212.2178	312835.7735
785	139131.2647	312577.801
790	139061.9497	312347.08
795	139023.9368	312213.4006
800	138941.3966	311973.9645
805	138851.2086	311739.0599
810	138767.1721	311534.5161
815	138723.718	311371.2602
820	138636.7644	311141.0707
825	138574.9462	310974.6906
830	138534.4394	310817.7185
835	138431.2831	310482.57
840	138373.9842	310279.6497
845	138296.7794	310091.4315
850	138177.7227	309794.0605
855	138136.0672	309653.4956
860	138088.5171	309500.5261
865	138047.7382	309357.9578
870	138013.9574	309230.8407
875	137969.6115	309053.5479
880	137851.1896	308773.9639
885	137803.4278	308621.8294
890	137774.3627	308503.9003
895	137728.8833	308354.0868
900	137670.0577	308211.3482
905	137603.5238	307997.8624
910	137552.2857	307855.7437
915	137476.8947	307656.4612
920	137445.4113	307517.7666
925	137356.1754	307297.8808
930	137328.4252	307189.4783
935	137284.0491	307009.5096
940	137232.6448	306886.6874
945	137182.5554	306721.4744
950	137101.1338	306517.4731
955	137064.6474	306400.4927
960	137025.3649	306250.9699
965	136985.8859	306142.5461
970	136946.286	306018.8451
975	136878.558	305831.9561
980	136736.2703	305444.3317
985	136619.6773	305082.6188
990	136581.6039	304942.2209
995	136540.7797	304781.0889
1000	136494.8317	304659.176
1005	136452.2845	304502.0191
1010	136415.5412	304383.8736
1015	136324.809	304097.2081
1020	136289.6981	303995.9537
1025	136239.7901	303837.606
1030	136184.8943	303625.1425
1035	136107.8256	303420.4045
1040	136049.7709	303211.0722
1045	136007.1632	303082.3706
1050	135972.7022	302976.3046
1055	135911.0351	302817.9602
1060	135858.6635	302627.0914
1065	135821.9504	302487.3744
1070	135762.8528	302330.6349
1075	135732.4123	302215.7834
1080	135700.7021	302127.1179
1085	135663.581	301989.7806
1090	135634.017	301889.8537
1095	135583.0964	301705.3317
1100	135539.6574	301539.645
1105	135451.283	301347.0987
1110	135373.7458	301103.3247
1115	135344.3481	300997.8381
1120	135296.0574	300852.3601
1125	135260.6744	300734.0983
1130	135208.9376	300584.5249
1135	135172.6024	300487.1634
1140	135130.8411	300328.8524
1145	135075.0384	300163.9899
1150	135050.4925	300094.0744
1155	135012.8424	299954.8948
1160	134972.789	299847.4714
1165	134940.4743	299736.3348
1170	134904.9099	299617.5663
1175	134866.7307	299443.6985
1180	134807.5273	299262.5405
1185	134703.9932	298943.1326
1190	134662.5946	298797.5956
1195	134629.0556	298670.0831
1200	134577.5757	298484.1813
1205	134527.7282	298340.054
1210	134477.7748	298213.6878
1215	134367.4392	297890.0695
1220	134302.6736	297739.8126
1225	134274.0619	297638.7517
1230	134194.9981	297465.7386
1235	134114.3019	297238.3635
1240	134071.3768	297099.1663
1245	134036.0694	296997.9408
1250	133993.0536	296839.1437
1255	133911.1181	296595.4451
1260	133872.2436	296424.0418
1265	133781.8742	296224.238
1270	133743.952	296109.4935
1275	133711.1233	295991.5722
1280	133676.8588	295881.2369
1285	133641.0073	295751.8106
1290	133562.0644	295579.3551
1295	133520.0915	295422.5985
1300	133446.2724	295228.7737
1305	133399.8407	295090.213
1310	133343.4033	294902.4173
1315	133308.2923	294775.693
