iter	Passed	Remaining
0	71	142542
1	130	130611
2	185	123261
3	246	122864
4	302	120627
5	363	120835
6	418	119120
7	474	118157
8	527	116795
9	581	115787
10	638	115534
11	687	113894
12	733	112078
13	793	112593
14	842	111522
15	884	109666
16	987	115146
17	1044	115013
18	1098	114490
19	1151	113953
20	1207	113767
21	1261	113378
22	1322	113649
23	1370	112851
24	1416	111872
25	1478	112214
26	1516	110838
27	1587	111770
28	1636	111251
29	1700	111649
30	1755	111491
31	1829	112531
32	1954	116484
33	2009	116202
34	2070	116226
35	2130	116231
36	2194	116406
37	2248	116086
38	2303	115815
39	2363	115823
40	2414	115359
41	2487	115952
42	2540	115600
43	2592	115253
44	2641	114764
45	2704	114874
46	2757	114595
47	2813	114399
48	2878	114625
49	2939	114656
50	2996	114523
51	3042	113992
52	3104	114063
53	3160	113899
54	3220	113887
55	3274	113673
56	3337	113753
57	3405	114036
58	3473	114278
59	3528	114093
60	3592	114179
61	3658	114349
62	3720	114377
63	3772	114113
64	3830	114030
65	3895	114163
66	3958	114209
67	4039	114777
68	4080	114208
69	4135	114019
70	4188	113789
71	4239	113528
72	4295	113385
73	4354	113330
74	4414	113301
75	4473	113237
76	4527	113059
77	4602	113403
78	4659	113299
79	4717	113215
80	4770	113027
81	4818	112708
82	4879	112705
83	4938	112643
84	4992	112475
85	5060	112624
86	5134	112901
87	5177	112482
88	5238	112475
89	5291	112307
90	5359	112442
91	5419	112400
92	5462	112005
93	5508	111685
94	5559	111486
95	5620	111471
96	5670	111237
97	5717	110964
98	5789	111168
99	5829	110765
100	5882	110605
101	5937	110480
102	5993	110388
103	6061	110498
104	6116	110386
105	6162	110117
106	6215	109965
107	6276	109958
108	6348	110143
109	6394	109866
110	6452	109817
111	6508	109718
112	6573	109771
113	6626	109627
114	6686	109599
115	6736	109415
116	6805	109526
117	6851	109277
118	6906	109170
119	6969	109184
120	7015	108948
121	7067	108793
122	7134	108877
123	7187	108737
124	7240	108614
125	7303	108625
126	7355	108482
127	7418	108492
128	7481	108509
129	7528	108289
130	7583	108201
131	7626	107929
132	7682	107844
133	7755	108000
134	7814	107955
135	7860	107739
136	7916	107658
137	7982	107704
138	8038	107627
139	8097	107575
140	8148	107437
141	8199	107284
142	8264	107327
143	8322	107262
144	8371	107091
145	8419	106918
146	8466	106727
147	8509	106481
148	8549	106210
149	8602	106096
150	8655	105987
151	8693	105691
152	8747	105603
153	8797	105460
154	8840	105226
155	8912	105354
156	8973	105334
157	9040	105398
158	9088	105227
159	9140	105115
160	9201	105107
161	9253	104989
162	9301	104822
163	9363	104823
164	9421	104778
165	9481	104754
166	9531	104622
167	9575	104423
168	9631	104352
169	9684	104255
170	9738	104163
171	9796	104116
172	9850	104023
173	9903	103928
174	9958	103854
175	10016	103802
176	10088	103903
177	10165	104051
178	10230	104075
179	10287	104016
180	10349	104006
181	10388	103774
182	10445	103708
183	10490	103536
184	10546	103467
185	10603	103415
186	10653	103286
187	10700	103138
188	10761	103118
189	10808	102963
190	10872	102973
191	10928	102909
192	10986	102865
193	11037	102750
194	11085	102610
195	11135	102495
196	11185	102375
197	11232	102229
198	11281	102102
199	11353	102181
200	11407	102102
201	11469	102091
202	11520	101985
203	11581	101961
204	11644	101960
205	11697	101872
206	11759	101859
207	11809	101746
208	11869	101710
209	11920	101609
210	11988	101650
211	12044	101582
212	12110	101600
213	12169	101564
214	12238	101611
215	12283	101448
216	12338	101380
217	12398	101348
218	12453	101276
219	12502	101159
220	12554	101057
221	12621	101084
222	12668	100953
223	12734	100966
224	12787	100876
225	12855	100912
226	12909	100833
227	12970	100808
228	13027	100747
229	13082	100681
230	13137	100606
231	13193	100541
232	13241	100419
233	13286	100270
234	13338	100177
235	13392	100104
236	13444	100012
237	13497	99930
238	13558	99902
239	13608	99797
240	13652	99649
241	13724	99699
242	13775	99605
243	13828	99517
244	13891	99510
245	13947	99450
246	14010	99434
247	14065	99368
248	14114	99252
249	14162	99138
250	14230	99162
251	14286	99100
252	14335	98988
253	14390	98919
254	14435	98786
255	14507	98832
256	14575	98855
257	14634	98812
258	14694	98775
259	14745	98680
260	14798	98603
261	14858	98561
262	14910	98476
263	14957	98359
264	15034	98430
265	15092	98382
266	15146	98307
267	15196	98208
268	15252	98148
269	15300	98035
270	15346	97912
271	15414	97927
272	15477	97910
273	15543	97912
274	15592	97808
275	15636	97669
276	15693	97617
277	15751	97567
278	15822	97598
279	15875	97522
280	15928	97439
281	15989	97408
282	16051	97388
283	16099	97275
284	16151	97190
285	16209	97144
286	16262	97065
287	16317	96997
288	16360	96861
289	16417	96807
290	16483	96807
291	16538	96740
292	16598	96700
293	16662	96685
294	16723	96658
295	16793	96677
296	16844	96587
297	16905	96555
298	16973	96564
299	17042	96573
300	17095	96493
301	17150	96429
302	17209	96381
303	17263	96310
304	17317	96241
305	17381	96221
306	17450	96233
307	17499	96134
308	17565	96126
309	17620	96059
310	17686	96053
311	17748	96023
312	17798	95930
313	17858	95891
314	17924	95879
315	17975	95791
316	18032	95738
317	18092	95696
318	18145	95621
319	18200	95551
320	18256	95490
321	18310	95419
322	18354	95295
323	18429	95332
324	18488	95284
325	18539	95198
326	18605	95187
327	18659	95120
328	18721	95087
329	18772	94998
330	18813	94864
331	18854	94728
332	18922	94724
333	18981	94681
334	19028	94572
335	19087	94529
336	19138	94440
337	19197	94398
338	19270	94418
339	19313	94293
340	19371	94243
341	19417	94137
342	19471	94066
343	19526	93999
344	19578	93920
345	19640	93887
346	19709	93888
347	19770	93854
348	19815	93740
349	19861	93635
350	19914	93556
351	19959	93448
352	20024	93426
353	20061	93279
354	20107	93175
355	20159	93096
356	20218	93048
357	20254	92900
358	20311	92846
359	20353	92722
360	20412	92677
361	20470	92628
362	20533	92599
363	20577	92484
364	20629	92406
365	20677	92312
366	20739	92283
367	20810	92292
368	20858	92195
369	20908	92111
370	20962	92042
371	21015	91971
372	21086	91977
373	21143	91923
374	21202	91875
375	21257	91814
376	21315	91764
377	21374	91718
378	21424	91634
379	21484	91591
380	21529	91486
381	21594	91465
382	21655	91427
383	21693	91292
384	21740	91197
385	21795	91132
386	21850	91070
387	21913	91040
388	21976	91011
389	22027	90932
390	22088	90897
391	22144	90835
392	22202	90788
393	22255	90715
394	22322	90703
395	22376	90637
396	22421	90531
397	22486	90512
398	22542	90452
399	22605	90423
400	22654	90333
401	22708	90267
402	22767	90222
403	22809	90107
404	22871	90073
405	22930	90027
406	22983	89959
407	23034	89878
408	23091	89826
409	23140	89739
410	23182	89628
411	23218	89491
412	23276	89442
413	23344	89432
414	23433	89499
415	23507	89511
416	23559	89436
417	23613	89369
418	23690	89391
419	23743	89319
420	23802	89273
421	23856	89208
422	23913	89151
423	23968	89088
424	24035	89072
425	24098	89038
426	24149	88964
427	24194	88863
428	24247	88794
429	24299	88720
430	24349	88642
431	24414	88615
432	24460	88521
433	24517	88466
434	24562	88369
435	24619	88313
436	24674	88252
437	24734	88209
438	24791	88155
439	24850	88106
440	24901	88029
441	24946	87934
442	25004	87881
443	25053	87799
444	25125	87796
445	25177	87725
446	25228	87651
447	25288	87605
448	25341	87537
449	25408	87519
450	25478	87507
451	25530	87437
452	25578	87350
453	25643	87323
454	25714	87316
455	25765	87239
456	25820	87180
457	25867	87090
458	25929	87053
459	25974	86959
